player_id,g,ab,r,h,x2b,x3b,hr,rbi,sb,cs,bb,so,last_year
smallaa01,172,4,0,0,0,0,0,0,0,0,0,3,2006
smithjo05,639,2,0,0,0,0,0,0,0,0,0,2,2016
smithma03,414,959,125,233,51,3,32,130,15,5,97,211,2003
smithse01,1138,3252,475,849,205,31,113,426,20,7,395,718,2016
snowjt01,1716,5641,798,1509,293,19,189,877,20,23,760,1142,2008
snydech02,715,2087,227,467,98,1,77,298,0,3,309,560,2013
sojolu01,848,2571,300,671,103,12,36,261,28,20,124,198,2003
soriaal01,1975,7750,1152,2095,481,31,412,1159,289,84,496,1803,2014
soriajo01,514,0,0,0,0,0,0,0,0,0,0,0,2016
soriara01,592,4,0,0,0,0,0,0,0,0,0,1,2015
sosasa01,2354,8813,1475,2408,379,45,609,1667,234,107,929,2306,2007
sotoge01,784,2480,303,611,146,4,105,352,3,5,307,663,2016
sparkst01,272,41,1,5,1,0,0,3,0,0,1,17,2004
speieju01,613,17,0,3,0,0,0,0,0,0,0,8,2009
spiezsc01,1274,3899,517,996,225,27,119,549,33,23,412,594,2007
sprinru01,740,27,1,2,0,0,0,0,0,0,0,17,2010
stairma01,1895,5204,770,1366,294,13,265,899,30,24,717,1122,2011
stantmi02,1178,24,3,8,1,0,0,3,0,0,1,3,2007
starkde01,74,71,5,7,3,0,1,8,0,0,5,28,2009
staufti01,202,140,7,21,3,0,0,12,0,0,4,63,2015
stewach01,398,1038,95,245,41,0,9,83,6,1,89,168,2016
stewash01,1386,5574,853,1653,315,41,115,580,196,71,504,684,2008
stinnke01,734,2033,228,476,91,4,65,230,10,5,196,567,2007
streehu01,664,2,0,0,0,0,0,0,0,0,0,1,2016
stricsc01,239,6,0,0,0,0,0,0,0,0,0,4,2010
stulter01,143,199,12,33,7,0,1,12,0,0,6,76,2015
sturtta01,272,16,0,1,0,0,0,0,0,0,0,5,2008
stynech01,828,2326,351,640,118,9,51,265,49,16,191,308,2004
sullisc01,559,48,1,4,0,0,0,1,0,0,0,28,2004
suppaje01,453,440,27,76,7,0,1,24,1,1,24,101,2012
surhobj01,2313,8258,1062,2326,440,42,188,1153,141,84,640,839,2005
suzukic01,2500,9689,1396,3030,356,96,114,760,508,116,626,1037,2016
suzukku01,1208,4191,432,1071,227,6,83,519,19,10,290,541,2016
sweenma01,1218,1830,220,464,101,9,42,250,16,9,259,425,2008
sweenmi01,1454,5188,759,1540,325,5,215,909,53,25,522,613,2010
swishni01,1527,5369,805,1338,307,11,245,803,13,15,817,1373,2015
tallebr01,242,5,0,0,0,0,0,0,0,0,0,2,2011
tatisfe01,949,3051,427,807,174,14,113,448,50,21,321,709,2010
tavarju01,828,140,8,16,0,0,0,9,0,0,7,60,2009
teixema01,1862,6936,1099,1862,408,18,409,1298,26,7,918,1441,2016
tejadmi01,2171,8434,1230,2407,468,23,307,1302,85,38,553,1079,2013
telemam01,219,116,6,14,4,1,0,3,0,0,6,51,2005
thamema01,640,1827,256,450,83,4,115,301,3,9,159,510,2011
thomabr01,72,0,0,0,0,0,0,0,0,0,0,0,2011
thomeji01,2543,8422,1583,2328,451,26,612,1699,19,20,1747,2548,2012
thompju02,103,14,1,1,0,0,0,0,0,0,0,6,2005
thomsjo01,216,318,20,63,6,1,0,22,0,1,12,133,2007
thornma01,748,1,0,0,0,0,0,0,0,0,0,1,2016
thursjo01,184,337,34,76,20,5,1,27,5,2,35,67,2011
timlimi01,1059,7,0,0,0,0,0,0,0,0,0,4,2008
tomkobr01,406,456,23,71,9,0,0,29,0,1,19,180,2011
torrean02,650,1910,277,462,113,29,32,174,77,29,205,476,2013
torresa01,499,103,5,15,1,1,0,1,0,0,2,46,2008
torreyo01,907,2875,306,737,162,12,56,339,19,17,222,544,2013
trachst01,426,651,49,106,17,1,3,40,1,1,26,200,2008
tracyan01,149,277,35,64,10,2,13,43,1,0,30,99,2009
tracych01,938,2706,317,741,172,9,86,358,11,7,233,473,2013
tremich01,22,41,3,6,1,0,0,1,0,0,4,7,2004
tsaoch01,57,14,3,3,2,0,0,0,0,0,0,1,2016
tuckemi01,1417,4083,625,1047,208,49,125,528,114,56,490,960,2006
tulowtr01,1220,4552,745,1329,253,24,217,753,57,31,492,856,2016
ugglada01,1346,4759,759,1149,238,18,235,706,26,21,626,1341,2015
uptonbj01,1469,5175,723,1260,262,32,164,586,300,92,589,1561,2016
uptonju01,1337,4899,775,1315,262,37,221,703,124,48,559,1364,2016
urbinug01,583,53,3,5,0,0,0,1,0,0,3,32,2005
uribeju01,1826,6161,724,1568,323,43,199,816,48,39,388,1224,2016
utleych01,1723,6384,1042,1777,381,53,250,977,145,20,675,1102,2016
valdeis01,326,399,20,52,9,0,1,17,4,0,13,122,2005
valenja01,631,1507,154,379,82,5,45,210,0,0,131,257,2008
valenjo03,1678,5539,872,1348,302,41,249,816,136,56,630,1294,2007
valvejo01,626,2,1,1,1,0,0,0,0,0,0,1,2014
vandejo02,1372,2751,374,717,170,18,97,430,38,20,385,698,2004
vanpoto01,359,57,5,9,1,0,0,2,0,0,2,22,2004
vargaja01,217,61,6,16,3,0,0,4,0,0,3,16,2016
varitja01,1546,5099,664,1307,306,14,193,757,25,18,614,1216,2011
vaughgr01,1731,6103,1017,1475,284,23,355,1072,121,59,865,1513,2003
vaughmo01,1512,5532,861,1620,270,10,328,1064,30,18,725,1429,2003
vazquja01,459,560,43,114,14,2,1,29,0,1,24,95,2011
velanjo01,174,244,21,46,12,1,2,23,2,0,26,66,2008
venturo01,2079,7064,1006,1885,338,14,294,1182,24,38,1075,1179,2004
veresda01,605,27,1,7,1,0,0,1,0,0,1,12,2003
verlaju01,352,37,2,3,0,0,0,0,0,0,0,17,2016
victosh01,1299,4630,731,1274,231,70,108,489,231,46,381,626,2015
vidrojo01,1418,5113,720,1524,341,12,128,654,23,16,478,556,2008
villaca01,476,120,6,11,0,0,0,4,0,0,3,61,2016
villoro01,717,170,7,22,3,1,1,7,0,0,1,51,2009
vinafe01,1148,4240,627,1196,194,49,40,343,116,67,288,292,2004
vizcajo01,1820,5379,633,1453,204,47,36,480,74,62,378,729,2006
vizcalu01,543,6,0,0,0,0,0,0,0,0,0,5,2009
vizquom01,2968,10586,1445,2877,456,77,80,951,404,167,1028,1087,2012
vogelry01,292,311,24,43,9,0,1,12,0,0,16,133,2016
volqued01,260,282,15,23,2,0,1,8,0,0,7,145,2016
vottojo01,1268,4501,757,1407,310,16,221,730,67,28,862,1004,2016
wagnebi02,854,20,1,2,0,0,0,1,0,0,1,12,2010
wainwad01,344,582,41,116,32,2,8,57,0,2,21,183,2016
wakefti01,630,111,4,13,2,0,1,4,0,0,3,47,2011
walbema01,682,2109,215,492,79,5,28,208,13,12,133,343,2003
walkeja01,545,0,0,0,0,0,0,0,0,0,0,0,2009
walkela01,1988,6907,1355,2160,471,62,383,1311,230,76,913,1231,2005
walkepe01,144,1,0,0,0,0,0,0,0,0,0,1,2006
walketo04,1288,4554,647,1316,284,30,107,545,66,37,421,571,2007
wangch01,174,39,2,2,1,0,0,1,0,0,2,21,2016
wardda01,948,2234,242,588,131,5,90,379,1,6,192,422,2008
wasdijo01,328,19,2,3,1,0,0,1,0,0,1,6,2007
washbja01,314,41,4,9,0,0,0,4,0,0,5,13,2009
weathda01,967,139,7,14,0,0,2,4,0,0,7,85,2009
weaveje01,365,208,14,43,6,1,0,13,0,0,6,73,2010
weaveje02,322,45,3,4,0,0,0,1,0,0,2,19,2016
weeksri01,1287,4320,720,1066,213,33,159,466,131,32,521,1181,2016
wellsda01,660,178,8,23,2,0,0,5,0,0,3,59,2007
wellski01,304,331,30,63,10,1,4,17,1,0,4,143,2012
wellsve01,1731,6642,930,1794,379,34,270,958,109,37,472,956,2013
wendetu01,552,43,1,3,0,0,0,0,0,0,5,19,2004
werthja01,1513,5232,848,1408,290,21,219,770,128,20,729,1381,2016
westbja01,319,169,10,22,7,0,1,14,2,0,13,79,2013
wheelda01,590,7,1,1,0,0,0,0,0,0,0,1,2012
whiteel03,216,514,52,108,22,4,10,45,4,3,31,138,2014
whitega01,472,38,1,4,0,0,1,3,0,0,1,26,2005
whitema02,286,2,0,0,0,0,0,0,0,0,0,2,2005
whiteri01,615,43,1,4,1,0,0,1,0,0,0,13,2007
whitero02,1474,5357,756,1519,296,34,198,768,94,47,360,925,2007
wickmbo01,835,2,0,0,0,0,0,0,0,0,0,0,2007
widgech01,613,1826,180,435,104,7,55,222,10,9,141,384,2006
wiggity01,1362,4479,558,1170,245,14,169,594,42,23,371,891,2013
willibe02,2076,7869,1366,2336,449,55,287,1257,147,87,1069,1212,2006
willige02,1168,3059,474,780,183,18,85,365,106,57,180,530,2005
willije02,236,167,4,18,4,0,0,5,0,1,2,74,2016
willijo03,1147,3912,564,988,216,15,195,632,35,9,553,1036,2014
willima04,1866,7000,997,1878,338,35,378,1218,53,35,469,1363,2003
willimi03,469,108,7,17,2,0,0,7,1,0,3,33,2003
willito02,227,4,0,1,0,0,0,0,0,0,0,2,2007
williwo02,443,540,52,105,25,1,4,43,1,1,17,183,2007
wilsocj01,445,29,3,4,0,1,0,0,0,0,3,10,2015
wilsoda01,1299,4186,441,1097,211,13,88,519,23,14,280,763,2005
wilsoja02,1370,4890,565,1294,243,34,61,426,43,32,270,619,2012
wilsojo03,431,1095,104,251,54,7,10,84,14,4,54,247,2015
wilsopa02,171,184,7,19,3,0,1,8,0,0,5,113,2005
wilsopr01,1108,4003,573,1055,221,16,189,668,124,55,350,1085,2007
winnra01,1717,6186,863,1759,367,59,110,662,215,84,526,1010,2010
wisede01,576,1109,149,253,45,16,31,115,55,13,46,245,2013
witasja01,405,42,0,3,0,0,0,3,0,0,1,22,2007
wolfra02,405,694,62,128,33,0,5,58,2,1,32,231,2015
womacto01,1303,4963,739,1353,190,59,36,368,363,74,308,649,2006
woodja02,153,200,25,49,11,0,5,36,1,1,15,59,2008
woodke02,449,346,23,59,6,0,7,32,0,0,11,114,2012
woodwch01,659,1706,211,408,87,14,33,191,9,6,137,400,2011
worreti01,678,81,6,8,1,0,0,4,0,0,4,43,2006
wrighda03,1583,5996,949,1777,390,26,242,970,196,65,761,1292,2016
wrighja01,722,443,26,64,15,1,1,17,0,0,12,179,2014
wrighja02,227,78,6,11,2,0,1,6,0,0,3,42,2007
yanes01,472,2,1,2,0,0,1,1,0,0,0,0,2006
